branch_addr,branch_type,taken,target
0x1edd53e8,conditional_jump,0,0x20671d87
0x1edd53f4,conditional_jump,0,0x20671d9d
0x1edd5400,conditional_jump,0,0x20671db5
0x1edd5419,return,1,0x317f1f41
0x317f1f46,conditional_jump,0,0x317f1f5e
0x317f1f48,indirect_jump,1,0x317f1f4f
0x317f1f59,direct_call,1,0x1ddd9340
0x1ddd9362,indirect_call,1,0x1f1b0220
0x1f1b0257,conditional_jump,0,0x2068f490
0x1f1b0260,conditional_jump,0,0x2068f490
0x1f1b0273,conditional_jump,0,0x2068f490
0x1f1b0287,conditional_jump,0,0x2068f49d
0x1f1b02b9,return,1,0x1ddd9365
0x1ddd936e,conditional_jump,0,0x205253fe
0x1ddd9384,conditional_jump,0,0x2052553e
0x1ddd93a5,conditional_jump,0,0x20525535
0x1ddd93ae,conditional_jump,0,0x2052553e
0x1ddd93cc,conditional_jump,0,0x205256df
0x1ddd93d5,conditional_jump,0,0x205256f1
0x1ddd93de,conditional_jump,0,0x205256e5
0x1ddd93e9,direct_call,1,0x1f1c2740
0x1f1c2747,conditional_jump,0,0x1f1c27d2
0x1f1c2770,conditional_jump,0,0x1f1c27ee
0x1f1c27ba,conditional_jump,0,0x1f1c27fc
0x1f1c27d1,return,1,0x1ddd93ee
0x1ddd940b,conditional_jump,0,0x20525451
0x1ddd9453,conditional_jump,0,0x20525706
0x1ddd94bd,conditional_jump,0,0x205251dc
0x1ddd9522,direct_call,1,0x1e2c4480
0x1e2c44a6,conditional_jump,0,0x20765f01
0x1e2c44ae,conditional_jump,0,0x1e2c45e6
0x1e2c44b7,conditional_jump,1,0x1e2c44c3
0x1e2c44c6,conditional_jump,1,0x1e2c44d5
0x1e2c44d8,conditional_jump,1,0x1e2c44e7
0x1e2c44ea,conditional_jump,1,0x1e2c44f9
0x1e2c4502,conditional_jump,0,0x1e2c45df
0x1e2c450a,conditional_jump,0,0x1e2c45e6
0x1e2c4513,conditional_jump,0,0x20765f08
0x1e2c451d,conditional_jump,1,0x1e2c453c
0x1e2c454e,direct_jump,1,0x1e2c452a
0x1e2c453b,return,1,0x1ddd9527
0x1ddd953b,direct_call,1,0x1eb50580
0x1eb50594,conditional_jump,0,0x20766122
0x1eb505a0,conditional_jump,0,0x2076614b
0x1eb505e1,conditional_jump,0,0x20766159
0x1eb505f1,conditional_jump,1,0x1eb50637
0x1eb5065b,conditional_jump,1,0x1eb505fb
0x1eb5061e,conditional_jump,0,0x207661bf
0x1eb50636,return,1,0x1ddd9540
0x1ddd9553,conditional_jump,0,0x205255bc
0x1ddd9560,conditional_jump,0,0x1ddd9597
0x1ddd9588,conditional_jump,0,0x20525581
0x1ddd9591,conditional_jump,0,0x205255c4
0x1ddd959e,conditional_jump,0,0x1ddd9722
0x1ddd95b1,conditional_jump,0,0x20525666
0x1ddd95be,conditional_jump,0,0x1ddd96f9
0x1ddd95cd,conditional_jump,0,0x205253f6
0x1ddd95d6,conditional_jump,0,0x205254ee
0x1ddd95f6,conditional_jump,0,0x205254e5
0x1ddd95ff,conditional_jump,0,0x205254ee
0x1ddd9608,conditional_jump,0,0x2052567e
0x1ddd961b,conditional_jump,0,0x20525692
